station_id,num_bikes_available,num_bikes_disabled,is_charging_station,status,traffic,num_docks_available,num_docks_disabled,last_reported,is_installed,is_renting,is_returning,num_bikes_available_types.mechanical,num_bikes_available_types.ebike
7171,8,0,False,IN_SERVICE,,15,2,1771820960,1,1,1,8,0
7172,1,0,False,IN_SERVICE,,18,0,1771820937,1,1,1,1,0
7173,1,0,False,IN_SERVICE,,17,0,1771820955,1,1,1,1,0
7174,0,0,False,IN_SERVICE,,15,0,1771820880,1,1,1,0,0
7175,19,0,False,IN_SERVICE,,4,2,1771820862,1,1,1,19,0
7176,16,0,False,IN_SERVICE,,3,0,1771820843,1,1,1,16,0
7178,1,0,False,IN_SERVICE,,14,0,1771820855,1,1,1,1,0
7180,4,2,False,IN_SERVICE,,17,0,1771820958,1,1,1,4,0
7181,1,0,False,IN_SERVICE,,13,1,1771820944,1,1,1,1,0
7182,0,0,False,IN_SERVICE,,19,0,1771820839,1,1,1,0,0
7183,1,0,False,IN_SERVICE,,11,3,1771820877,1,1,1,1,0
7184,2,0,False,IN_SERVICE,,9,0,1771820957,1,1,1,2,0
7188,3,0,False,IN_SERVICE,,30,2,1771820946,1,1,1,3,0
7189,4,0,False,IN_SERVICE,,7,3,1771820881,1,1,1,4,0
7190,0,0,False,IN_SERVICE,,15,0,1771820920,1,1,1,0,0
7191,8,0,False,IN_SERVICE,,2,1,1771820840,1,1,1,8,0
7192,0,0,False,IN_SERVICE,,15,0,1771820907,1,1,1,0,0
7193,12,0,False,IN_SERVICE,,3,0,1771820910,1,1,1,12,0
7194,3,0,False,IN_SERVICE,,20,0,1771820899,1,1,1,3,0
7195,0,0,False,IN_SERVICE,,11,0,1771820934,1,1,1,0,0
7196,1,0,False,IN_SERVICE,,8,1,1771820931,1,1,1,1,0
7197,9,0,False,IN_SERVICE,,0,1,1771820945,1,1,1,9,0
7198,7,0,False,IN_SERVICE,,11,1,1771820962,1,1,1,7,0
7199,3,0,False,IN_SERVICE,,16,0,1771820885,1,1,1,3,0
7202,5,0,False,IN_SERVICE,,17,4,1771820851,1,1,1,5,0
7203,32,0,False,IN_SERVICE,,2,1,1771820946,1,1,1,32,0
7204,12,0,False,IN_SERVICE,,6,1,1771820856,1,1,1,12,0
7205,4,0,False,IN_SERVICE,,10,1,1771820846,1,1,1,4,0
7206,5,0,False,IN_SERVICE,,8,0,1771820855,1,1,1,5,0
7207,3,0,False,IN_SERVICE,,43,0,1771820872,1,1,1,3,0
7208,7,0,False,IN_SERVICE,,8,0,1771820849,1,1,1,7,0
7209,10,0,False,IN_SERVICE,,9,0,1771820878,1,1,1,10,0
7210,12,0,False,IN_SERVICE,,3,0,1771820855,1,1,1,12,0
7211,0,0,False,IN_SERVICE,,15,0,1771820936,1,1,1,0,0
7216,6,0,False,IN_SERVICE,,13,2,1771820939,1,1,1,6,0
7217,12,2,False,IN_SERVICE,,0,0,1771820885,1,1,1,12,0
7220,6,0,False,IN_SERVICE,,13,0,1771820885,1,1,1,6,0
7221,0,0,False,IN_SERVICE,,11,0,1771820862,1,1,1,0,0
7222,22,0,False,IN_SERVICE,,5,0,1771820876,1,1,1,22,0
7223,4,0,False,IN_SERVICE,,8,0,1771820867,1,1,1,4,0
7224,0,0,False,IN_SERVICE,,22,1,1771820854,1,1,1,0,0
7225,14,0,False,IN_SERVICE,,4,1,1771820917,1,1,1,14,0
7226,4,0,False,IN_SERVICE,,15,0,1771820900,1,1,1,4,0
7227,1,0,False,IN_SERVICE,,26,4,1771820839,1,1,1,1,0
7228,2,0,False,IN_SERVICE,,17,0,1771820872,1,1,1,2,0
7230,0,0,False,IN_SERVICE,,18,1,1771820908,1,1,1,0,0
7231,0,0,False,IN_SERVICE,,18,0,1771820840,1,1,1,0,0
7232,1,1,False,IN_SERVICE,,13,1,1771820962,1,1,1,1,0
7233,3,0,False,IN_SERVICE,,12,1,1771820922,1,1,1,3,0
7234,6,0,False,IN_SERVICE,,13,0,1771820927,1,1,1,6,0
7235,3,0,False,IN_SERVICE,,13,0,1771820933,1,1,1,3,0
7236,11,0,False,IN_SERVICE,,12,1,1771820872,1,1,1,11,0
7237,7,0,False,IN_SERVICE,,8,0,1771820952,1,1,1,7,0
7238,11,0,False,IN_SERVICE,,5,0,1771820877,1,1,1,11,0
7239,11,1,False,IN_SERVICE,,28,2,1771820954,1,1,1,10,1
7240,13,0,False,IN_SERVICE,,21,0,1771820877,1,1,1,13,0
7241,4,0,False,IN_SERVICE,,7,0,1771820869,1,1,1,4,0
7242,5,0,False,IN_SERVICE,,26,2,1771820879,1,1,1,5,0
7243,4,0,False,IN_SERVICE,,8,2,1771820898,1,1,1,4,0
7244,4,0,False,IN_SERVICE,,12,0,1771820884,1,1,1,4,0
7246,0,0,False,IN_SERVICE,,17,1,1771820835,1,1,1,0,0
7247,0,0,False,IN_SERVICE,,12,0,1771820870,1,1,1,0,0
7248,11,0,False,IN_SERVICE,,9,0,1771820961,1,1,1,11,0
7249,5,0,True,IN_SERVICE,,41,5,1771820944,1,1,1,5,0
7250,0,0,False,IN_SERVICE,,16,0,1771820920,1,1,1,0,0
7252,3,0,False,IN_SERVICE,,13,2,1771820943,1,1,1,2,1
7253,7,0,False,IN_SERVICE,,5,0,1771820863,1,1,1,7,0
7256,0,0,False,IN_SERVICE,,10,2,1771820862,1,1,1,0,0
7257,4,0,False,IN_SERVICE,,15,0,1771820849,1,1,1,4,0
7258,7,0,False,IN_SERVICE,,8,0,1771820926,1,1,1,7,0
7259,16,0,False,IN_SERVICE,,2,0,1771820853,1,1,1,16,0
7260,0,0,False,IN_SERVICE,,13,2,1771820891,1,1,1,0,0
7261,23,0,False,IN_SERVICE,,1,0,1771820938,1,1,1,23,0
7262,1,0,False,IN_SERVICE,,15,0,1771820894,1,1,1,1,0
7264,15,0,False,IN_SERVICE,,2,0,1771820965,1,1,1,15,0
7265,1,0,False,IN_SERVICE,,11,0,1771820941,1,1,1,1,0
7266,1,0,False,IN_SERVICE,,11,0,1771820927,1,1,1,1,0
7267,12,0,False,IN_SERVICE,,2,0,1771820881,1,1,1,12,0
7268,11,0,False,IN_SERVICE,,4,1,1771820880,1,1,1,11,0
7269,15,1,False,IN_SERVICE,,4,0,1771820927,1,1,1,15,0
7270,5,0,False,IN_SERVICE,,14,1,1771820858,1,1,1,5,0
7271,7,0,False,IN_SERVICE,,11,0,1771820870,1,1,1,7,0
7272,17,1,False,IN_SERVICE,,7,1,1771820860,1,1,1,17,0
7273,7,0,False,IN_SERVICE,,13,0,1771820963,1,1,1,7,0
7276,1,0,False,IN_SERVICE,,10,0,1771820914,1,1,1,1,0
7277,5,0,False,IN_SERVICE,,15,0,1771820909,1,1,1,5,0
7278,16,0,False,IN_SERVICE,,0,0,1771820858,1,1,1,16,0
7279,1,0,False,IN_SERVICE,,15,0,1771820965,1,1,1,0,1
7281,8,0,False,IN_SERVICE,,15,0,1771820853,1,1,1,8,0
7282,8,0,False,IN_SERVICE,,15,0,1771820852,1,1,1,8,0
7283,1,0,False,IN_SERVICE,,18,0,1771820916,1,1,1,1,0
7284,9,0,False,IN_SERVICE,,15,0,1771820944,1,1,1,9,0
7285,35,0,False,IN_SERVICE,,1,0,1771820893,1,1,1,35,0
7286,7,0,False,IN_SERVICE,,11,0,1771820841,1,1,1,7,0
7287,14,0,False,IN_SERVICE,,1,0,1771820891,1,1,1,14,0
7288,7,0,False,IN_SERVICE,,22,1,1771820894,1,1,1,7,0
7289,15,1,False,IN_SERVICE,,6,0,1771820924,1,1,1,15,0
7291,14,0,False,IN_SERVICE,,0,1,1771820918,1,1,1,14,0
7292,22,0,False,IN_SERVICE,,2,0,1771820945,1,1,1,22,0
7296,2,0,False,IN_SERVICE,,16,1,1771820941,1,1,1,1,1
7297,2,0,False,IN_SERVICE,,17,0,1771820860,1,1,1,2,0
7298,6,0,False,IN_SERVICE,,19,0,1771820875,1,1,1,6,0
7299,8,0,False,IN_SERVICE,,7,0,1771820955,1,1,1,8,0
7301,3,0,False,IN_SERVICE,,11,1,1771820894,1,1,1,3,0
7302,0,0,False,IN_SERVICE,,10,1,1771820921,1,1,1,0,0
7303,6,0,False,IN_SERVICE,,13,0,1771820912,1,1,1,6,0
7309,15,0,False,IN_SERVICE,,8,0,1771820885,1,1,1,15,0
7311,7,1,False,IN_SERVICE,,11,0,1771820920,1,1,1,1,6
7312,1,0,False,IN_SERVICE,,10,0,1771820957,1,1,1,1,0
7313,13,0,False,IN_SERVICE,,2,0,1771820878,1,1,1,13,0
7314,10,0,False,IN_SERVICE,,5,0,1771820890,1,1,1,10,0
7315,11,0,False,IN_SERVICE,,0,0,1771820859,1,1,1,11,0
7316,2,0,False,IN_SERVICE,,13,0,1771820872,1,1,1,2,0
7317,10,0,False,IN_SERVICE,,9,0,1771820909,1,1,1,10,0
7318,8,0,False,IN_SERVICE,,7,0,1771820862,1,1,1,8,0
7319,5,0,False,IN_SERVICE,,4,0,1771820839,1,1,1,5,0
7320,18,0,False,IN_SERVICE,,1,0,1771820851,1,1,1,18,0
7321,17,0,False,IN_SERVICE,,2,0,1771820910,1,1,1,17,0
7322,11,0,False,IN_SERVICE,,7,1,1771820910,1,1,1,11,0
7323,19,0,False,IN_SERVICE,,0,0,1771820854,1,1,1,19,0
7324,13,0,False,IN_SERVICE,,10,0,1771820849,1,1,1,13,0
7326,2,0,False,IN_SERVICE,,17,0,1771820884,1,1,1,1,1
7329,10,0,False,IN_SERVICE,,9,0,1771820925,1,1,1,10,0
7331,6,0,False,IN_SERVICE,,12,1,1771820927,1,1,1,4,2
7332,0,0,False,IN_SERVICE,,22,1,1771820885,1,1,1,0,0
7333,15,0,False,IN_SERVICE,,3,0,1771820878,1,1,1,14,1
7334,14,0,False,IN_SERVICE,,1,0,1771820842,1,1,1,14,0
7335,2,0,False,IN_SERVICE,,17,0,1771820954,1,1,1,2,0
7336,1,0,False,IN_SERVICE,,18,0,1771820954,1,1,1,1,0
7337,10,0,False,IN_SERVICE,,10,0,1771820947,1,1,1,10,0
7338,12,0,False,IN_SERVICE,,6,0,1771820914,1,1,1,12,0
7339,1,1,False,IN_SERVICE,,13,0,1771820899,1,1,1,1,0
7340,15,0,False,IN_SERVICE,,0,0,1771820872,1,1,1,15,0
7341,7,0,False,IN_SERVICE,,8,0,1771820878,1,1,1,7,0
7342,8,0,False,IN_SERVICE,,1,1,1771820879,1,1,1,8,0
7343,16,0,False,IN_SERVICE,,6,0,1771820859,1,1,1,16,0
7344,19,0,False,IN_SERVICE,,28,2,1771820838,1,1,1,19,0
7345,17,0,False,IN_SERVICE,,11,1,1771820846,1,1,1,17,0
7346,19,0,False,IN_SERVICE,,3,1,1771820898,1,1,1,18,1
7347,0,0,False,IN_SERVICE,,15,0,1771820954,1,1,1,0,0
7348,3,0,False,IN_SERVICE,,15,1,1771820942,1,1,1,3,0
7349,5,0,False,IN_SERVICE,,18,0,1771820920,1,1,1,5,0
7350,9,0,False,IN_SERVICE,,14,0,1771820905,1,1,1,9,0
7351,6,0,False,IN_SERVICE,,12,1,1771820908,1,1,1,6,0
7352,1,0,False,IN_SERVICE,,15,2,1771820919,1,1,1,1,0
7353,7,0,False,IN_SERVICE,,12,0,1771820845,1,1,1,7,0
7354,23,0,False,IN_SERVICE,,8,0,1771820891,1,1,1,7,16
7355,0,0,False,IN_SERVICE,,15,0,1771820913,1,1,1,0,0
7356,17,0,False,IN_SERVICE,,14,0,1771820907,1,1,1,17,0
7357,6,0,False,IN_SERVICE,,13,0,1771820914,1,1,1,6,0
7358,6,0,False,IN_SERVICE,,11,0,1771820948,1,1,1,6,0
7359,0,0,False,IN_SERVICE,,20,3,1771820906,1,1,1,0,0
7360,3,0,False,IN_SERVICE,,14,0,1771820847,1,1,1,3,0
7361,0,0,False,IN_SERVICE,,18,1,1771820927,1,1,1,0,0
7362,0,0,False,IN_SERVICE,,18,1,1771820960,1,1,1,0,0
7363,0,0,False,IN_SERVICE,,15,0,1771820901,1,1,1,0,0
